epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4268.55,0.73992,0.92875,1.00153,0.99431,0.84848,0.90905,0.74162,0.67771,0.84917,0.94354,0.00353914,0.00117971,0.00353914,0.00117971,0.00353914,0.00117971,0.00353914,0.00117971
31,4407.96,0.74819,0.94185,1.01864,0.99442,0.84848,0.88949,0.74772,0.64279,0.85067,0.92386,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143
32,4545.17,0.74224,0.97594,1.0148,0.99365,0.84848,0.90553,0.753,0.63938,0.84577,0.92515,0.00336943,0.00112314,0.00336943,0.00112314,0.00336943,0.00112314,0.00336943,0.00112314
33,4686.22,0.7053,0.96917,1.01099,0.98625,0.84848,0.8843,0.74375,0.65024,0.86626,0.92527,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486
34,4827.34,0.7012,0.89244,1.00113,0.99125,0.84848,0.87889,0.74257,0.67064,0.85532,0.93547,0.00319971,0.00106657,0.00319971,0.00106657,0.00319971,0.00106657,0.00319971,0.00106657
35,4963.83,0.71133,0.91206,1.00085,1,0.84784,0.88187,0.74252,0.69276,0.85467,0.94655,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829
36,5103.86,0.70331,0.87999,1.00123,1,0.84319,0.88443,0.74069,0.68076,0.8267,0.92823,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
37,5242.01,0.69718,0.86144,0.99119,0.99444,0.84848,0.88731,0.73666,0.68031,0.83595,0.92859,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714
38,5381.76,0.7398,0.87813,1.01671,0.99607,0.84848,0.88507,0.73898,0.66291,0.80462,0.91576,0.00286029,0.000953429,0.00286029,0.000953429,0.00286029,0.000953429,0.00286029,0.000953429
39,5521.49,0.68511,0.86533,0.98409,0.99674,0.84848,0.89565,0.73242,0.65966,0.79342,0.90954,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143
40,5657.98,0.70287,0.85321,0.98904,0.99656,0.84848,0.89389,0.73928,0.65767,0.78733,0.90591,0.00269057,0.000896857,0.00269057,0.000896857,0.00269057,0.000896857,0.00269057,0.000896857
41,5798.45,0.68083,0.87942,0.98855,0.99689,0.84848,0.89641,0.74628,0.63331,0.77693,0.90086,0.00260571,0.000868571,0.00260571,0.000868571,0.00260571,0.000868571,0.00260571,0.000868571
42,5938.56,0.69975,0.83905,0.98913,0.99526,0.84848,0.89761,0.75943,0.61963,0.77716,0.90072,0.00252086,0.000840286,0.00252086,0.000840286,0.00252086,0.000840286,0.00252086,0.000840286
43,6074.22,0.67108,0.83643,0.97868,0.99457,0.84848,0.90445,0.75843,0.61416,0.77616,0.89434,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
44,6214.76,0.69912,0.83553,0.98225,0.99499,0.84848,0.89943,0.76229,0.60237,0.75964,0.89489,0.00235114,0.000783714,0.00235114,0.000783714,0.00235114,0.000783714,0.00235114,0.000783714
45,6351.92,0.67389,0.83459,0.97118,0.99456,0.84848,0.90211,0.76595,0.59146,0.74659,0.89186,0.00226629,0.000755429,0.00226629,0.000755429,0.00226629,0.000755429,0.00226629,0.000755429
46,6491.95,0.65128,0.8529,0.97827,0.99815,0.84848,0.90636,0.77512,0.55957,0.732,0.87322,0.00218143,0.000727143,0.00218143,0.000727143,0.00218143,0.000727143,0.00218143,0.000727143
47,6632.68,0.65714,0.81369,0.99648,1,0.84093,0.91393,0.77735,0.57438,0.72852,0.87828,0.00209657,0.000698857,0.00209657,0.000698857,0.00209657,0.000698857,0.00209657,0.000698857
48,6769.91,0.63423,0.81245,0.95382,0.96081,0.84848,0.91208,0.77439,0.59891,0.73881,0.88732,0.00201171,0.000670571,0.00201171,0.000670571,0.00201171,0.000670571,0.00201171,0.000670571
49,6910.15,0.67511,0.82337,0.98252,0.96055,0.84848,0.91461,0.78248,0.59631,0.70939,0.88532,0.00192686,0.000642286,0.00192686,0.000642286,0.00192686,0.000642286,0.00192686,0.000642286
50,7050.72,0.64911,0.79016,0.98187,1,0.8458,0.91832,0.77876,0.59074,0.71432,0.88011,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
51,7188.03,0.70631,0.85603,1.00053,1,0.84781,0.91877,0.77476,0.59286,0.7107,0.88226,0.00175714,0.000585714,0.00175714,0.000585714,0.00175714,0.000585714,0.00175714,0.000585714
